date,open,high,low,close,adj_close,volume,daily_return,adj_close_lag1,adj_close_lag2,adj_close_lag3,daily_return_lag1,daily_return_lag2,daily_return_lag3
2020-01-08,5.99399995803833,6.051000118255615,5.953750133514404,6.009500026702881,5.983108043670654,277108000,0.0018753593101246135,5.9719085693359375,5.900472164154053,5.875831127166748,0.01210689639650675,0.0041936257959112044,-0.01600612634957166
2020-01-09,6.096250057220459,6.148250102996826,6.021500110626221,6.075500011444092,6.048818588256836,255112000,0.010982677248440265,5.983108043670654,5.9719085693359375,5.900472164154053,0.0018753593101246135,0.01210689639650675,0.0041936257959112044
2020-01-10,6.1832499504089355,6.213749885559082,6.09375,6.107999801635742,6.081176280975342,316296000,0.005349423568649314,6.048818588256836,5.983108043670654,5.9719085693359375,0.010982677248440265,0.0018753593101246135,0.01210689639650675
2020-01-13,6.191500186920166,6.324749946594238,6.168749809265137,6.299499988555908,6.271835803985596,319840000,0.03135240851457022,6.081176280975342,6.048818588256836,5.983108043670654,0.005349423568649314,0.010982677248440265,0.0018753593101246135
2020-01-14,6.256499767303467,6.2820000648498535,6.168749809265137,6.182000160217285,6.154850959777832,359088000,-0.01865240861908768,6.271835803985596,6.081176280975342,6.048818588256836,0.03135240851457022,0.005349423568649314,0.010982677248440265
2020-01-15,6.19474983215332,6.217249870300293,6.113249778747559,6.139249801635742,6.1122894287109375,263104000,-0.006915119690961702,6.154850959777832,6.271835803985596,6.081176280975342,-0.01865240861908768,0.03135240851457022,0.005349423568649314
2020-01-16,6.192999839782715,6.229249954223633,6.16949987411499,6.223249912261963,6.195919513702393,284192000,0.013682284840541792,6.1122894287109375,6.154850959777832,6.271835803985596,-0.006915119690961702,-0.01865240861908768,0.03135240851457022
2020-01-17,6.242499828338623,6.25,6.1842498779296875,6.23199987411499,6.204631805419922,253792000,0.0014061337785717942,6.195919513702393,6.1122894287109375,6.154850959777832,0.013682284840541792,-0.006915119690961702,-0.01865240861908768
2020-01-21,6.195250034332275,6.232250213623047,6.164249897003174,6.198500156402588,6.171278953552246,217916000,-0.005375476404343771,6.204631805419922,6.195919513702393,6.1122894287109375,0.0014061337785717942,0.013682284840541792,-0.006915119690961702
2020-01-22,6.24399995803833,6.339749813079834,6.224999904632568,6.252749919891357,6.2252912521362305,239240000,0.008752205011393066,6.171278953552246,6.204631805419922,6.195919513702393,-0.005375476404343771,0.0014061337785717942,0.013682284840541792
2020-01-23,6.293000221252441,6.329999923706055,6.203750133514404,6.321499824523926,6.29373836517334,244516000,0.010995005737863606,6.2252912521362305,6.171278953552246,6.204631805419922,0.008752205011393066,-0.005375476404343771,0.0014061337785717942
