epoch,train_loss,val_loss,train_mae,val_mae,train_rmse,val_rmse,train_mape,val_mape
0,0.4133498966693878,0.1585986316204071,0.5926433801651001,0.1452799141407013,0.7944697141647339,0.15168680250644684,9616255.0,241900.1875
1,0.23903508484363556,0.14636725187301636,0.33622339367866516,0.03918348252773285,0.43299874663352966,0.04178205132484436,5477097.0,72536.5703125
2,0.1843477040529251,0.15020208060741425,0.22328530251979828,0.1271422803401947,0.2845265567302704,0.12778906524181366,3685029.5,241291.71875
3,0.16415543854236603,0.14010962843894958,0.17296382784843445,0.06358274817466736,0.2197798788547516,0.06726115942001343,3137830.25,133372.203125
4,0.1526404768228531,0.140455424785614,0.14359289407730103,0.11897612363100052,0.18442192673683167,0.11957570165395737,2628338.25,250223.078125
5,0.143250972032547,0.1401689052581787,0.121965691447258,0.12989117205142975,0.1567745953798294,0.15259139239788055,1898207.875,452261.4375
6,0.13537366688251495,0.1251307725906372,0.10541433095932007,0.05450253188610077,0.13628485798835754,0.055921878665685654,1792765.375,124074.546875
7,0.1286296546459198,0.1198025792837143,0.09473991394042969,0.04891325160861015,0.12281791120767593,0.05020957440137863,1623598.75,104013.109375
8,0.12176143378019333,0.11397240310907364,0.08164815604686737,0.028333211317658424,0.10678165405988693,0.030483219772577286,1373365.375,57710.00390625
9,0.11550021916627884,0.10885990411043167,0.07260838150978088,0.02516809292137623,0.09456786513328552,0.027402563020586967,1492733.125,48999.96484375
10,0.11006005108356476,0.10362715274095535,0.06752131879329681,0.012679927051067352,0.0898502990603447,0.015189613215625286,1094050.125,21407.146484375
11,0.10410026460886002,0.09876353293657303,0.058969322592020035,0.013290271162986755,0.07747823745012283,0.015716595575213432,1217624.25,22156.94921875
12,0.09895847737789154,0.09398583322763443,0.05508844926953316,0.012431341223418713,0.07322774827480316,0.014736972749233246,1139712.625,20757.56640625
13,0.09380768984556198,0.08933847397565842,0.05073772370815277,0.011061031371355057,0.06672775000333786,0.013422748073935509,809106.375,16390.3125
14,0.0889662355184555,0.0848265215754509,0.04539985582232475,0.009118213318288326,0.06236626207828522,0.011581068858504295,756204.9375,9922.1748046875
15,0.08422870188951492,0.08048443496227264,0.04039737209677696,0.008624223992228508,0.056974366307258606,0.011108918115496635,632349.3125,7612.57470703125
16,0.07966624945402145,0.07631081342697144,0.036827560514211655,0.008683799766004086,0.05130842328071594,0.011162014678120613,626645.0625,7805.52685546875
17,0.07538990676403046,0.07228720188140869,0.03492327779531479,0.008160051889717579,0.04765370488166809,0.010644549503922462,683456.0,4165.765625
18,0.07125883549451828,0.06842382997274399,0.03126995265483856,0.008107406087219715,0.04352279379963875,0.010598397813737392,512092.625,3762.140625
19,0.06737687438726425,0.06471816450357437,0.028985409066081047,0.007934629917144775,0.041282303631305695,0.010452229529619217,475272.1875,1762.9354248046875
20,0.0636182427406311,0.06117856502532959,0.0265116598457098,0.007856049574911594,0.03777443990111351,0.01040433906018734,482683.625,1055.75146484375
21,0.0601426362991333,0.057805873453617096,0.025545068085193634,0.007855909876525402,0.0372784361243248,0.010404203087091446,396523.0,1097.596923828125
22,0.05669540911912918,0.05458127707242966,0.02257712185382843,0.007888616994023323,0.0330934002995491,0.010477815754711628,370872.75,3087.250732421875
23,0.05344713106751442,0.05150822550058365,0.020560381934046745,0.007996704429388046,0.03003786876797676,0.010614429600536823,261244.890625,4770.244140625
24,0.05041976645588875,0.04858466237783432,0.019927000626921654,0.007872868329286575,0.029042575508356094,0.010450399480760098,362633.25,2627.987060546875
25,0.047532230615615845,0.04580698534846306,0.01869269087910652,0.007922839373350143,0.02775844931602478,0.010527935810387135,274360.65625,3832.480712890625
26,0.0447792187333107,0.043167006224393845,0.01750117912888527,0.008000240661203861,0.026132743805646896,0.010620647110044956,296955.40625,4827.79150390625
27,0.042198263108730316,0.04065905138850212,0.01703963428735733,0.00799363013356924,0.025957031175494194,0.010612971149384975,306695.75,4627.2392578125
28,0.03973405808210373,0.038285620510578156,0.016069602221250534,0.008385478518903255,0.025120045989751816,0.011096286587417126,282128.1875,8161.76318359375
29,0.03736446052789688,0.03602610155940056,0.014688241295516491,0.008026054129004478,0.02293461561203003,0.010651716962456703,194354.375,5123.091796875
30,0.03515128418803215,0.033889010548591614,0.014311355538666248,0.007916072383522987,0.022134624421596527,0.01052179280668497,191250.515625,3671.087646484375
31,0.033048663288354874,0.03186887130141258,0.01379029918462038,0.008166027255356312,0.021116092801094055,0.010827331803739071,237232.421875,6441.55615234375
32,0.031047439202666283,0.029951676726341248,0.012846587225794792,0.008050872944295406,0.019537994638085365,0.010684558190405369,170892.78125,5350.25830078125
33,0.029167773202061653,0.028140202164649963,0.012088627554476261,0.008118586614727974,0.018727390095591545,0.010768674314022064,124825.8828125,6066.82666015625
34,0.027385015040636063,0.02642158232629299,0.011731140315532684,0.007963946089148521,0.01777002587914467,0.010582203976809978,147207.40625,4407.48291015625
35,0.02571604959666729,0.024800922721624374,0.011523040011525154,0.008019223809242249,0.017780104652047157,0.01064781378954649,142279.25,5056.2412109375
36,0.024147631600499153,0.023265909403562546,0.011356331408023834,0.007885542698204517,0.018300913274288177,0.010478483512997627,90413.8828125,3116.129150390625
37,0.022638579830527306,0.021815350279211998,0.01104674767702818,0.007973523810505867,0.01735205017030239,0.010591676458716393,116361.0703125,4561.0712890625
38,0.021201888099312782,0.020443271845579147,0.010468687862157822,0.008062036707997322,0.015931598842144012,0.010701172053813934,118199.484375,5551.60400390625
39,0.01987663470208645,0.019141821190714836,0.010355361737310886,0.00792282447218895,0.01659761369228363,0.010533173568546772,139512.46875,3856.80078125
40,0.018594112247228622,0.01791551522910595,0.009912955574691296,0.008028874173760414,0.015456853434443474,0.01066004391759634,181992.125,5212.08837890625
41,0.017389431595802307,0.016753531992435455,0.00973910465836525,0.008023429661989212,0.014775327406823635,0.010652752593159676,94000.90625,5202.34765625
42,0.01625482738018036,0.015651654452085495,0.009538229554891586,0.00787549838423729,0.014532214030623436,0.010458692908287048,157702.953125,2837.35986328125
43,0.015175052918493748,0.014612033031880856,0.009288132190704346,0.007886918261647224,0.013867096975445747,0.010481842793524265,82736.171875,3431.74609375
44,0.014173620380461216,0.013631962239742279,0.009396480396389961,0.00793631561100483,0.014494952745735645,0.010550886392593384,84121.2890625,4114.54296875
45,0.013219264335930347,0.012705281376838684,0.009231118485331535,0.007914381101727486,0.014458113349974155,0.010519355535507202,101844.734375,3786.513671875
46,0.012308687902987003,0.011831061914563179,0.009005660191178322,0.007885044440627098,0.01372093241661787,0.010475288145244122,70282.515625,3318.31005859375
47,0.01145849283784628,0.011004963889718056,0.008722695522010326,0.007855657488107681,0.013686674647033215,0.010415557771921158,49888.91796875,2183.353515625
48,0.01064416766166687,0.010226092301309109,0.008661379106342793,0.00785779021680355,0.012778745964169502,0.010420277714729309,105945.171875,2137.062744140625
49,0.00994090922176838,0.009500773623585701,0.009234979748725891,0.007882677949965,0.016052883118391037,0.01047156285494566,59357.0859375,3104.531982421875
50,0.009181646630167961,0.008806264959275723,0.008544016629457474,0.007879290729761124,0.012791716493666172,0.010464925318956375,95942.234375,2947.82177734375
51,0.008521378971636295,0.00815422460436821,0.008749503642320633,0.007858079858124256,0.013776513747870922,0.010419093072414398,67918.9296875,1964.4169921875
52,0.007867339067161083,0.007540679536759853,0.008116262964904308,0.007863249629735947,0.012101808562874794,0.010435542091727257,46533.203125,2375.802734375
53,0.007263403385877609,0.006964095402508974,0.007773257326334715,0.007869337685406208,0.011368751525878906,0.010446672327816486,37769.01171875,2621.197509765625
54,0.006716052070260048,0.006423112004995346,0.008093380369246006,0.007859212346374989,0.01234950590878725,0.01042637974023819,41937.4609375,2136.5556640625
55,0.006185448728501797,0.005917412228882313,0.007893426343798637,0.007855864241719246,0.011773655191063881,0.010412219911813736,53716.078125,1724.72314453125
56,0.0056907315738499165,0.0054425448179244995,0.0076607950031757355,0.00785554014146328,0.01134005468338728,0.010401093401014805,49542.93359375,1251.8721923828125
57,0.005241375882178545,0.005000348202884197,0.007757793180644512,0.007855956442654133,0.012113980948925018,0.010404934175312519,37228.44140625,1452.1546630859375
58,0.004808500874787569,0.004586335737258196,0.007709353696554899,0.007856062613427639,0.011719181202352047,0.010409193113446236,60973.49609375,1476.9227294921875
59,0.004406288266181946,0.004200289957225323,0.007752268575131893,0.007855675183236599,0.011580417864024639,0.010404601693153381,25065.142578125,1166.686767578125
60,0.004034038633108139,0.0038413109723478556,0.007718648295849562,0.007858086377382278,0.011571609415113926,0.010401709005236626,54239.8671875,1017.095947265625
61,0.0036858823150396347,0.00350815337151289,0.007688956800848246,0.007857205346226692,0.011437042616307735,0.010412116535007954,39717.0703125,1563.4940185546875
62,0.0033634977880865335,0.0031982832588255405,0.007641578558832407,0.007858619093894958,0.011339029297232628,0.01041263248771429,34875.32421875,1366.517333984375
63,0.0030629890970885754,0.00291112600825727,0.007570244371891022,0.007868374697864056,0.011166566982865334,0.010404500178992748,22053.97265625,196.65899658203125
64,0.0027827429585158825,0.0026449954602867365,0.00744047062471509,0.00785664189606905,0.01087998691946268,0.010412443429231644,31416.298828125,1493.87548828125
65,0.002529777819290757,0.002399911405518651,0.007429196964949369,0.007855594158172607,0.011113704182207584,0.01040741428732872,21563.041015625,1352.437255859375
66,0.002291153185069561,0.0021731050219386816,0.007466462440788746,0.007859475910663605,0.010861624032258987,0.010400736704468727,20377.8203125,433.23748779296875
67,0.0020744502544403076,0.0019653935451060534,0.0074264882132411,0.007855433970689774,0.010894078761339188,0.01040716003626585,18222.98828125,1330.8299560546875
68,0.0018747418653219938,0.0017746597295626998,0.007398264016956091,0.007856475189328194,0.010880591347813606,0.010410969145596027,20456.64453125,1489.9825439453125
69,0.0016905873781070113,0.0015990743413567543,0.007324862293899059,0.007855656556785107,0.010777132585644722,0.010408448055386543,20852.451171875,1363.4644775390625
70,0.0015253644669428468,0.0014410136500373483,0.007381218485534191,0.0078628184273839,0.010971230454742908,0.010401491075754166,61939.45703125,702.5033569335938
71,0.0013744868338108063,0.0012963421177119017,0.007374174427241087,0.007864497601985931,0.010875959880650043,0.01040242426097393,15441.3310546875,276.5982666015625
72,0.001233817427419126,0.001163447042927146,0.0073444121517241,0.007879394106566906,0.01079624705016613,0.010410206392407417,26219.96875,109.5110855102539
73,0.001104597351513803,0.0010419223690405488,0.007215844467282295,0.007851551286876202,0.01063456665724516,0.010403892025351524,16239.404296875,1131.3975830078125
74,0.0009910421213135123,0.0009325057035312057,0.0073485909961164,0.007850464433431625,0.010823865421116352,0.010396049357950687,17865.81640625,584.6231689453125
75,0.0008914790814742446,0.0008390268194489181,0.007323672529309988,0.007983825169503689,0.010957521386444569,0.010485115461051464,14578.15625,2382.07275390625
76,0.0007968344143591821,0.000747393409255892,0.0072817676700651646,0.00785644818097353,0.010748490691184998,0.010409238748252392,26734.9921875,1522.788330078125
77,0.0007052505970932543,0.0006639397470280528,0.007116322871297598,0.007858369499444962,0.010403303429484367,0.01042176503688097,13166.89453125,1823.261962890625
78,0.0006280969828367233,0.0005900775431655347,0.007165382616221905,0.007858091965317726,0.010535012930631638,0.010416779667139053,33876.28515625,1749.67529296875
79,0.00055720005184412,0.0005239824531599879,0.0071429177187383175,0.007856015115976334,0.010454670526087284,0.010411348193883896,17438.69921875,1489.02783203125
80,0.0004943374660797417,0.00046503337216563523,0.007121492642909288,0.007857030257582664,0.010412654839456081,0.010412950068712234,11807.7978515625,1573.3779296875
81,0.00043852091766893864,0.00041258669807575643,0.0071124727837741375,0.00785563513636589,0.010401981882750988,0.010407596826553345,13516.990234375,1342.827392578125
82,0.00039040157571434975,0.00036774968612007797,0.0071423109620809555,0.007855861447751522,0.010473144240677357,0.010415950790047646,11306.0859375,1632.3067626953125
83,0.00034794482053257525,0.0003282054385636002,0.007144606672227383,0.007856316864490509,0.010458112694323063,0.010419084690511227,12507.89453125,1598.9664306640625
84,0.00031568939448334277,0.00029688654467463493,0.007277782540768385,0.007855311967432499,0.01073079090565443,0.010407614521682262,12265.171875,1455.9495849609375
85,0.00027965987101197243,0.0002624700136948377,0.007114429026842117,0.0078561557456851,0.010429807007312775,0.010405178181827068,13256.0361328125,1219.0623779296875
86,0.0002499534748494625,0.00023479526862502098,0.007147111929953098,0.007856141775846481,0.010527539998292923,0.010409542359411716,20746.765625,1493.5546875
87,0.00022122316295281053,0.00020811498688999563,0.00710030784830451,0.007856314070522785,0.010403604246675968,0.010408599860966206,11856.90625,1435.15087890625
88,0.00019756324763875455,0.00018610119877848774,0.007142270915210247,0.007857071235775948,0.010482979007065296,0.010411952622234821,11812.490234375,1589.7271728515625
89,0.00017575101810507476,0.00016605450946372002,0.007088157348334789,0.007856047712266445,0.010387838818132877,0.010407558642327785,11977.998046875,1380.6378173828125
90,0.0001571813627379015,0.00014891497266944498,0.007092424668371677,0.007856009528040886,0.010389076545834541,0.010407419875264168,12091.9287109375,1373.03173828125
91,0.0001413039572071284,0.00013425236102193594,0.007092578336596489,0.007855926640331745,0.010389259085059166,0.010407042689621449,12255.12890625,1352.04833984375
92,0.00012771436013281345,0.00012169419642305002,0.007092844229191542,0.007855858653783798,0.010389589704573154,0.01040663756430149,12325.5048828125,1328.7166748046875
93,0.00011607744818320498,0.00011094075307482854,0.007093227468430996,0.00785578228533268,0.010389958508312702,0.010406199842691422,12397.9423828125,1302.6939697265625
