iteration,train_rmse,val_rmse,train_mae,val_mae
0,0.04696861251479677,0.03860364252820403,0.0320306752120102,0.02897162138145756
1,0.04693824607172205,0.03860283868591122,0.03202873708711105,0.02897060989317569
2,0.04690770348128832,0.03860165597597396,0.03202623579136033,0.02896911905316467
3,0.04690770429407932,0.03860053406918816,0.03202562306453533,0.02896770358678292
4,0.04686362006326116,0.0385986026415568,0.03202236573617205,0.02896526389839974
5,0.04683673019758924,0.03859821536720567,0.03202079886438174,0.02896477380259471
6,0.04683673019758924,0.03859821536720567,0.03202079886438174,0.02896477380259471
7,0.04680446185269867,0.03859714115550681,0.03201821202842089,0.02896341472356157
8,0.04677155025618553,0.03859646438912504,0.03201616797578079,0.02896255858835172
9,0.04674709271770108,0.03859519139120594,0.03201384234814356,0.02896094543182037
10,0.04674709312060526,0.03859498808149627,0.03201373058762093,0.02896068743853407
11,0.04672115449921886,0.03859333114485293,0.03201148960877213,0.02895858474075794
12,0.04668911338630403,0.03859081297752967,0.03200844700240549,0.02895538355647163
13,0.046664065884631,0.03858930629322469,0.03200631119499478,0.02895346498963508
14,0.04662875412097087,0.0385867948554189,0.03200306862904649,0.02895026165907356
15,0.04660457533746932,0.03858487583539423,0.03200072510949651,0.02894780847497962
16,0.0465795592449345,0.03858407919394719,0.03199868975887338,0.02894678962078284
17,0.04655646985791639,0.03858255750903835,0.03199923155464762,0.02894484098916027
18,0.04655646789544593,0.0385846229850751,0.03200037618455166,0.02894748520021411
19,0.04653267864448531,0.03858153195134761,0.03199738921722744,0.0289435252843594
20,0.04653268320868143,0.03857972168811235,0.03199638299482576,0.02894120085137811
21,0.04653268440979361,0.03857947016062266,0.03199624334812933,0.0289408780973066
22,0.04653268754156901,0.03857856522057106,0.03199573983587941,0.02893971504474228
23,0.0465326870347999,0.0385789179753475,0.03199593608105281,0.02894016834483905
24,0.0465326964819285,0.03857691826196166,0.03199482193178594,0.02893759462643753
25,0.04653270522668122,0.03857539187194596,0.0319939707664314,0.02893562826581977
26,0.0464941148120365,0.03857306007557629,0.03199058364235235,0.02893261757086624
27,0.04649411000032589,0.03857381759587988,0.03199100731613573,0.02893359628082676
28,0.04646527169462066,0.03857185591376168,0.03198833636279347,0.02893106037412177
29,0.04643710436658473,0.03856878539068238,0.03198478635701604,0.02892708295786922
30,0.04643711427735117,0.0385675767867854,0.0319841067862589,0.02892551339993423
31,0.04640876985005907,0.03856461314282633,0.03198087550726916,0.02892165966966951
32,0.04638018063752089,0.03856339393819463,0.03197838417177307,0.02892007147046653
33,0.0463801784278085,0.03856363742989871,0.03197852132013095,0.02892038827254013
34,0.04635733248893062,0.03856310975471514,0.03197672229510493,0.02891970046541907
35,0.0463573251581426,0.03856397737872883,0.03197721192774661,0.02892083144662055
36,0.04632947158920668,0.03856303681890733,0.03197489638596106,0.02891960587691177
37,0.04632947006911212,0.03856317335648284,0.03197497305820289,0.02891978310759772
38,0.04630261803136914,0.03856264074099548,0.0319728924237199,0.02891908860342069
39,0.0463026149689137,0.03856322911093813,0.03197322477529436,0.028919856114821
40,0.04630262146318569,0.03856216274055872,0.03197262268386484,0.02891846541526981
41,0.04627627676255325,0.03856132015415614,0.03197037781604149,0.0289173648967831
42,0.04627627425745798,0.03856159323240377,0.03197053198801478,0.02891772115941752
43,0.04627626942677104,0.03856241206939304,0.03197099519902596,0.02891879117285663
44,0.04624546812784013,0.03856062908709084,0.03196824759429914,0.0289164628918198
45,0.0462454714744306,0.03856022930605072,0.03196802104441512,0.02891593952239914
46,0.04624546940554221,0.03856052561603512,0.03196818919121465,0.02891632787544619
47,0.04621524982287469,0.0385577255061901,0.03196487776089928,0.02891266293485056
48,0.04618813453645153,0.03855757886632837,0.03196647280723785,0.02891247117553245
49,0.04618813903813736,0.03855694820420024,0.03196611467153995,0.02891164382242344
50,0.04618814089074849,0.03855670827307367,0.03196597849531235,0.02891132937405597
51,0.04615866336848379,0.03855491779807603,0.03196325964006906,0.0289089801128615
52,0.04615868008213605,0.03855276760532415,0.03196203564733499,0.02890615284612233
53,0.04615868187933189,0.03855252842625548,0.03196189900862004,0.02890583708543669
54,0.04615868074100938,0.03855265730288468,0.03196197247292262,0.02890600694385781
55,0.04615868007657221,0.0385527264222293,0.03196201207272222,0.02890609830236909
56,0.04613600000566861,0.03855152710820811,0.03195984233234227,0.02890451906714588
57,0.04613600607760759,0.0385508526264793,0.0319594574753039,0.02890363008799878
58,0.04613600607760759,0.0385508526264793,0.0319594574753039,0.02890363008799878
