iteration,train_logloss,val_logloss,train_error,val_error
0,0.6909047027989975,0.6939603353088553,0.4196689386562804,0.4818181818181818
1,0.6884862299439041,0.6968767236579548,0.3670886075949367,0.5409090909090909
2,0.6867649982363246,0.6984305799007415,0.3631937682570594,0.55
3,0.6844087850153736,0.6986779798160899,0.3670886075949367,0.5454545454545454
4,0.682098023905378,0.6998246661641381,0.3476144109055501,0.5863636363636363
5,0.6791155727139466,0.6985210914503445,0.3456669912366115,0.5545454545454546
6,0.6760526064424227,0.6991029985926368,0.3281402142161636,0.5272727272727272
7,0.6739050766857597,0.6996688146482815,0.29698149951314506,0.5454545454545454
8,0.6728636540595837,0.7000974915244362,0.29600778967867575,0.5545454545454546
9,0.6708546117194788,0.7016341174190694,0.3028237585199611,0.55
10,0.6689255234677465,0.7023766999894923,0.30671859785783834,0.5727272727272728
11,0.6670367542469281,0.7036612274971875,0.3037974683544304,0.5545454545454546
12,0.6649159845381888,0.7044021514329043,0.2921129503407984,0.5318181818181819
13,0.6624715482596646,0.7038601197979667,0.2775073028237585,0.5681818181818182
14,0.660786165234641,0.7064464964649894,0.2804284323271665,0.5545454545454546
15,0.6583534353779957,0.7077420670877803,0.27848101265822783,0.5818181818181818
16,0.6570863420798461,0.7090090478008444,0.2745861733203505,0.5818181818181818
17,0.6542758154950332,0.7104167325930162,0.2745861733203505,0.5636363636363636
18,0.6525790288014213,0.711007708311081,0.2697176241480039,0.5818181818181818
19,0.6510300947083006,0.709893627058376,0.2599805258033106,0.5727272727272728
20,0.6489897890355594,0.7112301607023586,0.2560856864654333,0.5727272727272728
