epoch,train_loss,val_loss,train_mae,val_mae,train_rmse,val_rmse,train_mape,val_mape
0,0.45180585980415344,0.14741729199886322,0.6498904228210449,0.031522236764431,0.8508381247520447,0.040274713188409805,2996113.5,393.67681884765625
1,0.29959264397621155,0.14893703162670135,0.44597122073173523,0.06016264483332634,0.5597977638244629,0.06911246478557587,377459.78125,1490.0330810546875
2,0.23908953368663788,0.14789874851703644,0.3366026282310486,0.0513833723962307,0.4329480230808258,0.061202727258205414,734912.1875,1288.85791015625
3,0.2095981240272522,0.1523825228214264,0.27723774313926697,0.11501649767160416,0.35857585072517395,0.12115117907524109,373984.09375,3021.6796875
4,0.19224603474140167,0.15050049126148224,0.2446393519639969,0.10886956006288528,0.3090042769908905,0.11526720970869064,483758.78125,2935.189208984375
5,0.18317721784114838,0.15049315989017487,0.2194903939962387,0.11903460323810577,0.2827659845352173,0.12689444422721863,731894.375,3240.795654296875
6,0.1720881164073944,0.1520557850599289,0.1925477683544159,0.14278262853622437,0.2462087869644165,0.1488446295261383,1094124.0,3901.2314453125
7,0.16356699168682098,0.14314812421798706,0.16747087240219116,0.0797494649887085,0.21618926525115967,0.08772807568311691,495876.3125,2230.525146484375
8,0.1601540893316269,0.1383545696735382,0.16060282289981842,0.03316282480955124,0.20829693973064423,0.040941547602415085,388666.34375,503.5069274902344
9,0.15416622161865234,0.13702623546123505,0.14861461520195007,0.043585218489170074,0.18720506131649017,0.05260976031422615,282952.90625,1136.5670166015625
10,0.15083779394626617,0.13435864448547363,0.1379244476556778,0.02778351865708828,0.17948131263256073,0.03552250564098358,253751.359375,388.4801940917969
11,0.14597749710083008,0.13260294497013092,0.12454928457736969,0.031849365681409836,0.16225917637348175,0.040818896144628525,304029.4375,573.5213623046875
12,0.14319278299808502,0.13075785338878632,0.12032479792833328,0.03598415479063988,0.15723970532417297,0.044400881975889206,239572.65625,842.5892944335938
13,0.1386265605688095,0.12866663932800293,0.10593511909246445,0.03464827314019203,0.14006538689136505,0.04313185438513756,288995.15625,595.5452270507812
14,0.13563686609268188,0.12662240862846375,0.10092097520828247,0.035118672996759415,0.13323700428009033,0.0436444953083992,310573.03125,774.6986083984375
15,0.13230393826961517,0.12505567073822021,0.09554150700569153,0.045337218791246414,0.12338616698980331,0.05415068939328194,300763.28125,1175.7115478515625
16,0.12946884334087372,0.12212340533733368,0.09013073891401291,0.027954544872045517,0.1172066405415535,0.035607658326625824,107209.125,389.3986511230469
17,0.1266774982213974,0.12014428526163101,0.08417858928442001,0.03078753501176834,0.11114126443862915,0.03886193409562111,222789.515625,558.9912719726562
18,0.12445809692144394,0.11786452680826187,0.08360053598880768,0.02632307820022106,0.11015540361404419,0.03431258350610733,107369.9453125,247.65565490722656
