epoch,train_loss,val_loss,train_mae,val_mae,train_rmse,val_rmse,train_mape,val_mape
0,0.4557470679283142,0.1766367107629776,0.6445811986923218,0.2425510436296463,0.8526052236557007,0.2449520379304886,5556094.0,4482.12548828125
1,0.25328052043914795,0.14766156673431396,0.36678412556648254,0.05341498181223869,0.4652036726474762,0.059349726885557175,5020498.5,1040.2056884765625
2,0.22828342020511627,0.1524074375629425,0.31478652358055115,0.12155688554048538,0.41059812903404236,0.1260824352502823,3586162.25,2298.385498046875
3,0.19917337596416473,0.14985273778438568,0.26085859537124634,0.11543256044387817,0.33382245898246765,0.12112078815698624,3299719.0,2205.548095703125
4,0.1782997101545334,0.15772201120853424,0.2104118913412094,0.1803722083568573,0.27173298597335815,0.18751153349876404,2260209.25,3425.0390625
5,0.16830326616764069,0.13898827135562897,0.18991872668266296,0.04298406094312668,0.24255667626857758,0.053481053560972214,2009865.625,720.9091796875
6,0.15977954864501953,0.13977831602096558,0.17048108577728271,0.09323517233133316,0.21705055236816406,0.09983000159263611,1988835.0,1726.053955078125
7,0.1519956737756729,0.13739825785160065,0.15082594752311707,0.1013895571231842,0.19294089078903198,0.10514296591281891,1300915.75,1918.24560546875
8,0.14452050626277924,0.1307196468114853,0.13135068118572235,0.05483098328113556,0.16801461577415466,0.060964230448007584,1407223.125,1064.4234619140625
9,0.1395357847213745,0.12659700214862823,0.1225157380104065,0.033472299575805664,0.15600913763046265,0.04025997593998909,1040185.1875,601.354248046875
10,0.13470549881458282,0.12372564524412155,0.11350838094949722,0.03961876779794693,0.14450488984584808,0.046026866883039474,1823297.5,743.7454223632812
11,0.1306312084197998,0.11993131041526794,0.10554688423871994,0.021829945966601372,0.13785016536712646,0.029239248484373093,1619017.5,226.69505310058594
12,0.12549737095832825,0.11699816584587097,0.09622462093830109,0.029971033334732056,0.12285232543945312,0.036685146391391754,757313.125,515.5520629882812
13,0.12136215716600418,0.11362110823392868,0.08950073271989822,0.022675607353448868,0.11468766629695892,0.030020643025636673,484410.84375,281.5950012207031
14,0.11722531169652939,0.11067220568656921,0.083611398935318,0.028264932334423065,0.10571321099996567,0.035877954214811325,958714.625,323.3414611816406
15,0.11340668052434921,0.10767794400453568,0.07654525339603424,0.03164464607834816,0.09899920970201492,0.03909202665090561,973978.5625,421.46954345703125
16,0.11024131625890732,0.10428082197904587,0.07618267834186554,0.02213805541396141,0.09822914749383926,0.0294122863560915,794773.6875,174.9608154296875
17,0.10654677450656891,0.10132161527872086,0.07081003487110138,0.024950366467237473,0.09149683266878128,0.03212951868772507,822144.6875,271.3987731933594
18,0.10340271890163422,0.09830491244792938,0.06898075342178345,0.02417273074388504,0.09005369991064072,0.031124504283070564,447209.3125,249.07217407226562
19,0.10006441920995712,0.09529217332601547,0.06619865447282791,0.021660542115569115,0.0858083963394165,0.028693653643131256,575821.1875,172.86460876464844
20,0.09668440371751785,0.09240010380744934,0.0612863190472126,0.021443616598844528,0.08022552728652954,0.0286064762622118,566394.9375,156.4396514892578
21,0.09353940933942795,0.08956410735845566,0.05719185620546341,0.021227765828371048,0.0765966847538948,0.028509488329291344,784094.5625,154.65994262695312
