iteration,train_rmse,val_rmse,train_mae,val_mae
0,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
1,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
2,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
3,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
4,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
5,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
6,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
7,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
8,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
9,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
10,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
11,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
12,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
13,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
14,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
15,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
16,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
17,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
18,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
19,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
20,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
21,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
22,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
23,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
24,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
25,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
26,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
27,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
28,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
29,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
30,0.01492959886966685,0.01081050163713646,0.01195737321808308,0.00965436777641249
