iteration,train_logloss,val_logloss,train_error,val_error
0,0.6898756062090942,0.6917421135128053,0.396709323583181,0.4358974358974359
1,0.6870962598206138,0.6910296138535198,0.36380255941499084,0.4444444444444444
2,0.6848648588225872,0.6913626739102551,0.3820840950639854,0.4444444444444444
3,0.6819947875178056,0.6934184966943203,0.34552102376599636,0.49572649572649574
4,0.6785983249299923,0.6923316355444428,0.3217550274223035,0.48717948717948717
5,0.6756273814267607,0.690496996936635,0.3180987202925046,0.452991452991453
6,0.6724997968080929,0.6931220079079653,0.3180987202925046,0.452991452991453
7,0.6695623613580707,0.6936598491464925,0.32541133455210236,0.48717948717948717
8,0.6662206809960945,0.6947234390128372,0.29981718464351004,0.47863247863247865
9,0.663333452706799,0.6949600348105798,0.2961608775137112,0.48717948717948717
10,0.6599809711550446,0.6969972069446857,0.2870201096892139,0.48717948717948717
11,0.6571468101776932,0.6969494386615916,0.2687385740402194,0.46153846153846156
12,0.6540585807516108,0.6967320992396429,0.26142595978062155,0.452991452991453
13,0.6512342290424995,0.6946143344936208,0.25045703839122485,0.46153846153846156
14,0.6480522799753402,0.6933362193596668,0.24314442413162707,0.4358974358974359
15,0.6443954085628119,0.6938750377068152,0.23583180987202926,0.4358974358974359
16,0.6419927837425874,0.6947741722449278,0.2303473491773309,0.46153846153846156
17,0.6396072664361113,0.6971262087169875,0.21937842778793418,0.49572649572649574
18,0.6378436295053422,0.6965076862237393,0.21389396709323583,0.4700854700854701
19,0.6350033661347203,0.6969721628050519,0.21755027422303475,0.49572649572649574
20,0.6311543953266179,0.6972086302235595,0.20840950639853748,0.47863247863247865
